label	sub_label	user	file_id	acc_magnitude_kurtosis	acc_magnitude_rms	acc_magnitude_sma	acc_magnitude_std	acc_magnitude_wl	acc_magnitude_zcr	acc_x_kurtosis	acc_x_rms	acc_x_sma	acc_x_std	acc_x_wl	acc_x_zcr	acc_y_kurtosis	acc_y_rms	acc_y_sma	acc_y_std	acc_y_wl	acc_y_zcr	acc_z_kurtosis	acc_z_rms	acc_z_sma	acc_z_std	acc_z_wl	acc_z_zcr	gyro_magnitude_kurtosis	gyro_magnitude_rms	gyro_magnitude_sma	gyro_magnitude_std	gyro_magnitude_wl	gyro_magnitude_zcr	gyro_x_kurtosis	gyro_x_rms	gyro_x_sma	gyro_x_std	gyro_x_wl	gyro_x_zcr	gyro_y_kurtosis	gyro_y_rms	gyro_y_sma	gyro_y_std	gyro_y_wl	gyro_y_zcr	gyro_z_kurtosis	gyro_z_rms	gyro_z_sma	gyro_z_std	gyro_z_wl	gyro_z_zcr
shake	10201	100	100_10201_260326123155225	-0.20069432	12.813097	806.4553	3.200262	66.44998	0.0	-0.92184544	7.56418	396.52606	7.5277076	88.96875	0.06153846	-1.4486539	2.5166137	149.73146	2.5166087	29.383268	0.046153847	-0.03450179	10.031217	631.7895	2.4799263	40.82395	0.0	-0.6942179	2.6412401	135.23941	1.6270298	28.260002	0.0	0.08501816	0.87658465	41.31598	0.87029135	13.579677	0.13846155	0.057811975	0.36252907	18.275547	0.36042303	11.0520735	0.18461539	-0.6494055	2.4650195	123.441574	2.4332829	29.649382	0.06153846
shake	10201	100	100_10201_260326123157529	-0.6136534	12.369226	902.7068	2.8513727	63.66918	0.0	-0.6662142	7.066195	416.53595	7.055782	95.541824	0.053333335	-0.91862607	2.5654266	156.83937	2.5483172	33.38467	0.06666667	-0.018071413	9.822689	726.82416	1.6031171	30.900917	0.0	-1.0094713	2.3174427	133.03305	1.4913962	26.129545	0.0	0.7123525	0.51044255	25.872875	0.50843775	10.470679	0.12	0.3026023	0.29390112	16.222128	0.29282993	8.85601	0.24	-0.6360247	2.2413414	125.11243	2.2169235	29.67749	0.08
shake	10201	100	100_10201_260326123159813	0.2281518	11.907172	1014.97534	2.3824837	64.03868	0.0	-0.70523286	6.3969035	452.20532	6.359258	102.76096	0.057471264	-0.95540524	2.262387	164.03035	2.2542517	38.337204	0.06896552	1.2713041	9.784783	843.27856	1.3380975	32.07399	0.0	-0.5340369	2.1089218	146.4975	1.2696862	28.092054	0.0	1.3263083	0.35590303	21.93936	0.35486138	9.674875	0.13793103	0.14096808	0.34303567	22.788162	0.34302422	10.294446	0.1724138	-0.41338253	2.0501733	139.47969	2.0499828	31.594994	0.057471264
shake	10201	100	100_10201_260326123201986	-0.3308401	12.2926035	936.3374	2.646551	65.14245	0.0	-0.6417446	6.8545184	413.24704	6.8543754	101.260086	0.07692308	-0.8183663	2.5687401	168.83755	2.5681279	39.626934	0.06410257	0.55439115	9.875487	764.64984	1.19267	33.076584	0.0	-1.0618731	2.1137574	130.47472	1.2922338	25.116592	0.0	0.37801623	0.36012223	21.581854	0.35992333	9.403039	0.15384616	-0.29866052	0.21105789	12.727366	0.20499314	8.828064	0.1923077	-0.65108895	2.0721335	125.11869	2.0684555	29.133669	0.06410257
shake	10201	100	100_10201_260326123204324	-0.18533683	12.086227	933.169	2.5587509	61.962467	0.0	-0.5885103	6.5284014	402.35547	6.5277514	92.88938	0.11392405	-0.30278778	2.4878914	155.94684	2.4865122	38.83431	0.06329114	3.2072496	9.862416	773.5541	1.177896	29.75534	0.0	-0.7833829	2.0312324	125.67272	1.2630435	25.403397	0.0	2.917274	0.3338667	17.91926	0.33148813	8.679474	0.1392405	0.6611316	0.26012966	15.725034	0.2517141	8.854793	0.12658228	-0.5064988	1.9866481	120.217575	1.98286	28.319996	0.07594936
shake	10201	100	100_10201_260326123206407	-0.6602998	12.483561	901.828	2.705465	61.452156	0.0	-0.62415695	7.2414436	417.20004	7.238827	108.31412	0.08108108	-1.2062197	1.7878458	115.809616	1.7738663	25.721651	0.067567565	0.2870996	10.010214	735.62823	1.1757522	31.29693	0.0	-0.9685962	1.8296611	108.84433	1.0882112	20.526958	0.0	1.4272523	0.34143487	18.423529	0.34092358	9.256588	0.17567568	-0.6351342	0.28986844	17.616117	0.2898673	6.525106	0.067567565	-0.62261415	1.773995	102.75922	1.7738295	23.56289	0.067567565
shake	10201	100	100_10201_260326123208399	-0.43029046	13.3493	920.3805	3.846711	97.232666	0.0	-0.5668361	8.445784	479.79254	8.434943	133.16716	0.06944445	-1.3602409	2.3547628	145.0224	2.2526486	32.774487	0.055555556	1.3541093	10.066163	710.11206	2.0138152	46.41298	0.0	-0.6783109	2.403999	143.44565	1.3453437	28.016483	0.0	2.4324422	0.6079534	29.523094	0.60767996	14.002093	0.1388889	0.42413306	0.2597354	14.455197	0.25973338	7.841365	0.18055555	-0.72541785	2.3113074	134.11351	2.3112812	33.32909	0.06944445
shake	10201	100	100_10201_260326123210755	0.6113057	12.311571	942.6015	3.0348241	72.000946	0.0	-0.542011	7.048951	423.10605	7.0372024	101.92586	0.088607594	-1.0423696	2.1618054	151.43158	2.1504564	29.243284	0.06329114	2.166286	9.859699	763.8255	1.9314129	42.042496	0.0	-0.15253997	1.9347458	120.31452	1.193234	22.84435	0.0	3.2190828	0.55712634	29.955278	0.55703735	12.108868	0.12658228	-0.10111332	0.2718928	16.736471	0.25771326	7.499283	0.11392405	-0.37069678	1.8327372	110.14563	1.8281902	26.58789	0.06329114
shake	10201	100	100_10201_260326123212834	0.69021344	12.441793	756.7521	3.2421553	63.20857	0.0	0.15718365	7.0111904	319.80728	6.9970264	87.44033	0.07936508	0.677155	2.1351054	107.38689	2.0248208	25.071999	0.06349207	0.8640013	10.053992	627.3897	1.3819191	34.737198	0.0	-1.1176723	1.6757579	82.80682	1.0394874	13.995876	0.0	0.42400098	0.35388726	15.827508	0.3531133	9.565376	0.17460318	1.4009132	0.25869125	11.596963	0.24846132	7.4855375	0.1904762	-0.28801775	1.6174076	77.100746	1.6000035	18.659475	0.06349207
shake	10201	100	100_10201_260326123215084	0.4919231	12.555516	951.50775	2.9715083	69.002945	0.0	-0.35189676	7.360638	433.19962	7.3534093	103.89937	0.07692308	-0.7243719	2.3215985	153.29317	2.3156495	32.835503	0.03846154	0.38239193	9.903139	767.50085	1.1186604	42.04609	0.0	0.79482484	1.9256158	122.73836	1.1098999	24.603426	0.0	-0.78500557	0.32398736	21.333838	0.32290322	11.770143	0.17948718	-0.5803206	0.347887	22.358877	0.34778643	11.985471	0.17948718	0.009449005	1.8660126	110.080574	1.859168	28.17523	0.07692308
