label	sub_label	user	file_id	acc_magnitude_band1_energy	acc_magnitude_band2_energy	acc_magnitude_band3_energy	acc_magnitude_band4_energy	acc_magnitude_spectral_bandwidth	acc_magnitude_spectral_centroid	acc_magnitude_spectral_entropy	acc_magnitude_total_energy	acc_x_band1_energy	acc_x_band2_energy	acc_x_band3_energy	acc_x_band4_energy	acc_x_spectral_bandwidth	acc_x_spectral_centroid	acc_x_spectral_entropy	acc_x_total_energy	acc_y_band1_energy	acc_y_band2_energy	acc_y_band3_energy	acc_y_band4_energy	acc_y_spectral_bandwidth	acc_y_spectral_centroid	acc_y_spectral_entropy	acc_y_total_energy	acc_z_band1_energy	acc_z_band2_energy	acc_z_band3_energy	acc_z_band4_energy	acc_z_spectral_bandwidth	acc_z_spectral_centroid	acc_z_spectral_entropy	acc_z_total_energy	gyro_magnitude_band1_energy	gyro_magnitude_band2_energy	gyro_magnitude_band3_energy	gyro_magnitude_band4_energy	gyro_magnitude_spectral_bandwidth	gyro_magnitude_spectral_centroid	gyro_magnitude_spectral_entropy	gyro_magnitude_total_energy	gyro_x_band1_energy	gyro_x_band2_energy	gyro_x_band3_energy	gyro_x_band4_energy	gyro_x_spectral_bandwidth	gyro_x_spectral_centroid	gyro_x_spectral_entropy	gyro_x_total_energy	gyro_y_band1_energy	gyro_y_band2_energy	gyro_y_band3_energy	gyro_y_band4_energy	gyro_y_spectral_bandwidth	gyro_y_spectral_centroid	gyro_y_spectral_entropy	gyro_y_total_energy	gyro_z_band1_energy	gyro_z_band2_energy	gyro_z_band3_energy	gyro_z_band4_energy	gyro_z_spectral_bandwidth	gyro_z_spectral_centroid	gyro_z_spectral_entropy	gyro_z_total_energy
shake	10201	100	100_10201_260326123155225	0.21299863	0.6419107	0.137109	0.007981353	1.8643271	3.506738	5.3940063	0.99999994	0.6448176	0.34099603	0.01212295	0.002063278	0.99596554	2.0416927	4.3158264	0.9999998	0.630976	0.34644353	0.018885057	0.0036950547	1.132666	1.9976461	4.5455704	0.9999992	0.42091188	0.49300635	0.083697796	0.0023840507	1.6587865	2.7486186	5.1757674	1.0000001	0.3685214	0.5694936	0.057419922	0.0045651146	1.4764408	2.7767112	5.0985036	0.99999994	0.4903398	0.4613977	0.047176417	0.0010863381	1.4502491	2.5040998	5.003123	1.0000002	0.19338933	0.4076638	0.38219762	0.016749153	2.5064995	4.6136675	6.1596045	0.9999997	0.73048013	0.26007015	0.00897739	0.0004725747	0.8301858	1.8970599	4.199138	1.0000002
shake	10201	100	100_10201_260326123159813	0.21522294	0.69167215	0.08258512	0.010519706	1.7574713	3.3118937	5.251089	0.99999946	0.7531781	0.23427054	0.011037019	0.0015145479	0.8579833	1.9251137	4.043634	1.0000001	0.75929123	0.22586983	0.012762283	0.0020770342	0.9524765	1.9234856	4.16987	1.0000004	0.3247612	0.5871476	0.08200613	0.0060849097	1.6892017	3.0074468	5.2208223	0.9999997	0.3727533	0.5814644	0.04118662	0.0045958557	1.6498936	2.68183	4.753175	0.9999998	0.19162858	0.7414644	0.06245108	0.004456067	1.5434481	3.278291	5.1395164	0.99999994	0.5566477	0.2594378	0.16601636	0.017898181	2.5350604	3.1638584	5.2395573	0.99999964	0.8038141	0.18592903	0.009220992	0.0010358989	0.7808937	1.8494712	3.902637	0.99999976
shake	10201	100	100_10201_260326123204324	0.18828797	0.659715	0.13944721	0.012549948	1.903662	3.679544	5.370489	1.0000001	0.6952677	0.28893796	0.011078384	0.0047162296	1.0573512	2.0118096	4.1220665	0.9999998	0.67452097	0.31164393	0.011166379	0.0026683055	0.92334795	1.9765717	4.228434	0.9999992	0.17772669	0.53873235	0.2682693	0.01527137	2.1182168	4.14146	5.8757043	1.0000001	0.35862067	0.5801935	0.052123997	0.009061537	1.6554284	2.7879062	4.9660916	0.9999995	0.16461955	0.59348166	0.23014605	0.011752867	1.9944334	4.0440764	5.7317104	1.0000001	0.44915178	0.22619691	0.295654	0.028997483	3.0308158	3.9396553	5.7191253	0.99999994	0.7827819	0.21165216	0.0045426628	0.001023658	0.7164772	1.7834635	4.0283017	1.0
shake	10201	100	100_10201_260326123206407	0.2184327	0.6662745	0.10674974	0.0085437065	1.7684442	3.441375	4.9347773	1.0000006	0.6775907	0.3000345	0.019325161	0.003049632	1.0207113	1.9896342	4.1125684	1.0000002	0.5953153	0.342439	0.05669535	0.0055506635	1.6080005	2.2761734	4.940008	1.0000001	0.116631225	0.74665856	0.11552544	0.021184852	1.9864367	3.8490217	5.406601	0.9999998	0.30659583	0.6158466	0.06796592	0.009591952	1.7928019	3.0400262	4.6919136	1.0000001	0.102669924	0.80103636	0.07898078	0.017312916	1.793551	3.7486732	5.208107	1.0000002	0.32243663	0.6051965	0.051647916	0.020718612	1.898475	2.8149662	4.7017636	0.99999946	0.7181924	0.26748723	0.012732859	0.0015879723	0.8495204	1.906459	3.9784083	1.0000002
shake	10201	100	100_10201_260326123208399	0.16776685	0.6475962	0.18190496	0.002732066	1.5158702	3.7645109	5.0993004	1.0000001	0.54293334	0.4465983	0.00884823	0.0016200386	0.8823457	2.111549	4.1809196	0.99999976	0.62870294	0.34372148	0.026755909	0.0008195899	1.0874015	2.0023453	4.5789337	1.0	0.14949195	0.69662803	0.14739554	0.006484464	1.5175501	3.605299	5.3168845	1.0000001	0.46803832	0.43239892	0.09272187	0.0068409964	2.0142279	2.8888385	5.2165985	0.9999999	0.17838247	0.7185911	0.098456495	0.004570136	1.393172	3.358862	5.2167063	1.0000002	0.3025408	0.37240767	0.28837284	0.036678687	2.8398423	4.3397384	6.0337753	1.0000001	0.557906	0.43106592	0.0104308175	0.0005969896	0.8610512	2.0826595	4.2710924	0.9999997
shake	10201	100	100_10201_260326123215084	0.28087106	0.6087302	0.091229975	0.019169042	2.0927377	3.4430797	5.258298	1.0	0.6091039	0.37358385	0.01367969	0.003632369	1.0639468	2.1159265	4.2190685	0.9999997	0.4286991	0.52059436	0.043683905	0.007022431	1.3773112	2.4564085	4.718925	0.9999996	0.11201875	0.6205604	0.21991742	0.04750352	2.5542634	4.538143	5.8619995	1.0000002	0.3515589	0.5604972	0.07297394	0.014970102	1.9198112	3.0155034	5.286493	0.99999976	0.18576682	0.52622783	0.25386313	0.034142222	2.5519183	4.45212	5.806152	1.0	0.3435113	0.36633584	0.2214033	0.06874947	2.8841798	4.15154	5.884131	1.0000002	0.66345775	0.32632288	0.008185744	0.0020337165	0.9586845	1.9820952	4.2722187	0.9999999
shake	10201	100	100_10201_260326123217269	0.18728366	0.7375039	0.064828716	0.010383249	1.6447521	3.1679466	5.107953	0.9999993	0.75326407	0.23719162	0.0060057496	0.0035383473	0.92644453	1.8481503	4.043957	0.9999997	0.671454	0.31311804	0.012304507	0.0031233663	1.0985028	1.9424844	4.5343847	1.0	0.1260014	0.6690168	0.1702905	0.0346912	2.468988	3.972436	5.6166253	0.9999998	0.34211665	0.59871733	0.057035215	0.0021306875	1.4734225	2.6177204	4.98133	0.9999999	0.3253197	0.55170214	0.10775388	0.0152239455	2.0793579	3.0454397	5.3956323	0.9999995	0.613684	0.2998555	0.05311136	0.033349313	2.3319404	2.5914772	5.094183	1.0	0.85336137	0.14371902	0.0024854282	0.0004349356	0.59115756	1.6472163	3.7823894	1.0000006
shake	10201	100	100_10201_260326123219239	0.12779863	0.7081671	0.13981242	0.024221351	1.984497	3.685709	5.448065	0.99999946	0.727637	0.24384226	0.019960968	0.008559605	1.343883	1.9908978	4.1571965	0.9999998	0.79826605	0.18654513	0.012658519	0.002530859	0.9270824	1.7456958	4.0222197	1.0000008	0.04466428	0.5845359	0.33607692	0.034722764	2.1898494	4.4329863	5.6591287	0.99999994	0.45176733	0.48402056	0.04374251	0.020469312	2.1941047	2.7924492	5.056908	0.9999993	0.20854874	0.5361665	0.23761962	0.017665064	2.0384254	3.650903	5.6609025	0.9999999	0.32749686	0.16633348	0.4541474	0.05202229	3.0764327	4.609256	5.855107	1.0000001	0.7302329	0.25089636	0.012533735	0.0063366434	1.1793299	1.9075153	4.129279	0.99999964
shake	10201	100	100_10201_260326123221424	0.15766717	0.7620534	0.070294	0.009985837	1.6020494	3.4316905	5.1146283	1.0000005	0.69332784	0.28258264	0.021029418	0.0030600617	1.0437199	1.9628054	4.094535	0.99999994	0.7458626	0.2344994	0.018335875	0.001302508	0.8765803	1.7738867	4.203181	1.0000004	0.0918288	0.6472534	0.24962021	0.011297719	2.016147	4.1096616	5.7444234	1.0000002	0.4614752	0.45527115	0.06636296	0.01689069	2.205639	2.7553346	5.047209	1.0000004	0.21832228	0.6152334	0.16363984	0.0028043955	1.7843513	3.3478954	5.571833	1.0	0.34351814	0.36793694	0.27422693	0.014318424	2.2949977	3.5356128	5.73015	1.0000004	0.707108	0.27530023	0.014344565	0.0032471537	1.0062481	1.90215	4.0846267	1.0000001
shake	10201	100	100_10201_260326123227563	0.24419832	0.6052832	0.13826999	0.012248949	1.9908926	3.50811	5.4522057	1.0000002	0.7172345	0.26454642	0.015486603	0.0027328539	0.9920212	1.9681686	4.0644364	1.0000002	0.6146554	0.3541468	0.026676295	0.0045217657	1.2247341	2.1820612	4.4824233	1.0000002	0.36169994	0.49787697	0.13300443	0.007418362	2.0288773	3.0586934	5.3447533	0.9999996	0.33191168	0.5964659	0.06382679	0.007795859	1.6790633	2.9093242	4.8292503	1.0000004	0.24105117	0.6013968	0.15094438	0.0066076065	2.078552	3.3234274	5.2625213	0.99999994	0.3103637	0.43108702	0.22725326	0.03129644	2.7642994	3.9266365	5.6526585	1.0000002	0.7846334	0.20543444	0.0093389675	0.0005931178	0.77208376	1.8001674	3.9597282	0.99999964
