label	sub_label	user	file_id	acc_magnitude_kurtosis	acc_magnitude_rms	acc_magnitude_sma	acc_magnitude_std	acc_magnitude_wl	acc_magnitude_zcr	acc_x_kurtosis	acc_x_rms	acc_x_sma	acc_x_std	acc_x_wl	acc_x_zcr	acc_y_kurtosis	acc_y_rms	acc_y_sma	acc_y_std	acc_y_wl	acc_y_zcr	acc_z_kurtosis	acc_z_rms	acc_z_sma	acc_z_std	acc_z_wl	acc_z_zcr	gyro_magnitude_kurtosis	gyro_magnitude_rms	gyro_magnitude_sma	gyro_magnitude_std	gyro_magnitude_wl	gyro_magnitude_zcr	gyro_x_kurtosis	gyro_x_rms	gyro_x_sma	gyro_x_std	gyro_x_wl	gyro_x_zcr	gyro_y_kurtosis	gyro_y_rms	gyro_y_sma	gyro_y_std	gyro_y_wl	gyro_y_zcr	gyro_z_kurtosis	gyro_z_rms	gyro_z_sma	gyro_z_std	gyro_z_wl	gyro_z_zcr
shake	10201	100	100_10201_260326123155225	-0.20069432	12.813097	806.4553	3.200262	66.44998	0.0	-0.92184544	7.56418	396.52606	7.5277076	88.96875	0.06153846	-1.4486539	2.5166137	149.73146	2.5166087	29.383268	0.046153847	-0.03450179	10.031217	631.7895	2.4799263	40.82395	0.0	-0.6942179	2.6412401	135.23941	1.6270298	28.260002	0.0	0.08501816	0.87658465	41.31598	0.87029135	13.579677	0.13846155	0.057811975	0.36252907	18.275547	0.36042303	11.0520735	0.18461539	-0.6494055	2.4650195	123.441574	2.4332829	29.649382	0.06153846
shake	10201	100	100_10201_260326123159813	0.2281518	11.907172	1014.97534	2.3824837	64.03868	0.0	-0.70523286	6.3969035	452.20532	6.359258	102.76096	0.057471264	-0.95540524	2.262387	164.03035	2.2542517	38.337204	0.06896552	1.2713041	9.784783	843.27856	1.3380975	32.07399	0.0	-0.5340369	2.1089218	146.4975	1.2696862	28.092054	0.0	1.3263083	0.35590303	21.93936	0.35486138	9.674875	0.13793103	0.14096808	0.34303567	22.788162	0.34302422	10.294446	0.1724138	-0.41338253	2.0501733	139.47969	2.0499828	31.594994	0.057471264
shake	10201	100	100_10201_260326123204324	-0.18533683	12.086227	933.169	2.5587509	61.962467	0.0	-0.5885103	6.5284014	402.35547	6.5277514	92.88938	0.11392405	-0.30278778	2.4878914	155.94684	2.4865122	38.83431	0.06329114	3.2072496	9.862416	773.5541	1.177896	29.75534	0.0	-0.7833829	2.0312324	125.67272	1.2630435	25.403397	0.0	2.917274	0.3338667	17.91926	0.33148813	8.679474	0.1392405	0.6611316	0.26012966	15.725034	0.2517141	8.854793	0.12658228	-0.5064988	1.9866481	120.217575	1.98286	28.319996	0.07594936
shake	10201	100	100_10201_260326123206407	-0.6602998	12.483561	901.828	2.705465	61.452156	0.0	-0.62415695	7.2414436	417.20004	7.238827	108.31412	0.08108108	-1.2062197	1.7878458	115.809616	1.7738663	25.721651	0.067567565	0.2870996	10.010214	735.62823	1.1757522	31.29693	0.0	-0.9685962	1.8296611	108.84433	1.0882112	20.526958	0.0	1.4272523	0.34143487	18.423529	0.34092358	9.256588	0.17567568	-0.6351342	0.28986844	17.616117	0.2898673	6.525106	0.067567565	-0.62261415	1.773995	102.75922	1.7738295	23.56289	0.067567565
shake	10201	100	100_10201_260326123208399	-0.43029046	13.3493	920.3805	3.846711	97.232666	0.0	-0.5668361	8.445784	479.79254	8.434943	133.16716	0.06944445	-1.3602409	2.3547628	145.0224	2.2526486	32.774487	0.055555556	1.3541093	10.066163	710.11206	2.0138152	46.41298	0.0	-0.6783109	2.403999	143.44565	1.3453437	28.016483	0.0	2.4324422	0.6079534	29.523094	0.60767996	14.002093	0.1388889	0.42413306	0.2597354	14.455197	0.25973338	7.841365	0.18055555	-0.72541785	2.3113074	134.11351	2.3112812	33.32909	0.06944445
shake	10201	100	100_10201_260326123215084	0.4919231	12.555516	951.50775	2.9715083	69.002945	0.0	-0.35189676	7.360638	433.19962	7.3534093	103.89937	0.07692308	-0.7243719	2.3215985	153.29317	2.3156495	32.835503	0.03846154	0.38239193	9.903139	767.50085	1.1186604	42.04609	0.0	0.79482484	1.9256158	122.73836	1.1098999	24.603426	0.0	-0.78500557	0.32398736	21.333838	0.32290322	11.770143	0.17948718	-0.5803206	0.347887	22.358877	0.34778643	11.985471	0.17948718	0.009449005	1.8660126	110.080574	1.859168	28.17523	0.07692308
shake	10201	100	100_10201_260326123217269	0.2431593	11.6002445	832.8944	2.0949142	46.707596	0.0	-0.62521887	5.6389785	330.46844	5.637716	75.58985	0.05479452	-0.53375053	1.74436	110.28158	1.5762558	23.809185	0.05479452	0.4715228	9.98623	725.6636	0.9535883	28.871796	0.0	-1.1546928	1.7042062	105.449875	0.90425885	17.12592	0.0	0.4515736	0.3572824	18.494543	0.34527606	8.334333	0.1780822	1.1644821	0.39153728	21.275198	0.39138764	8.164055	0.12328767	-0.9855881	1.6196811	98.621376	1.6196524	19.222845	0.05479452
shake	10201	100	100_10201_260326123219239	0.09172845	11.402235	740.49176	2.0327764	37.62737	0.0	-0.45305443	5.2765694	262.21625	5.2474146	55.69774	0.060606062	-0.010484219	2.1207304	116.994675	1.9125761	21.304502	0.030303031	1.124887	9.882878	649.98444	0.82658416	21.870403	0.0	-1.059987	1.5254813	79.156494	0.942695	14.00566	0.0	0.27441216	0.2636124	13.2689	0.26328823	6.484637	0.15151516	-0.30750728	0.1816209	9.215047	0.17046024	5.203193	0.16666667	-0.22708106	1.4915144	74.661415	1.4625823	16.986168	0.07575758
shake	10201	100	100_10201_260326123221424	-0.67260766	12.176536	808.4289	2.632073	51.94839	0.0	-0.4016924	6.576085	334.57462	6.5276766	78.969124	0.05882353	-0.23166847	2.4970825	139.99866	2.4678078	30.80341	0.05882353	-0.22981405	9.9392	672.6141	0.9737749	26.976086	0.0	-1.2281783	1.9497712	105.802765	1.1750365	18.547678	0.0	-0.298496	0.38234153	20.622793	0.38233736	8.530115	0.11764706	0.01987648	0.3916656	20.361198	0.36881188	8.53653	0.13235295	-0.44765258	1.8713686	98.76981	1.8532474	21.97937	0.05882353
shake	10201	100	100_10201_260326123227563	0.206182	12.075178	898.89856	2.432613	55.273567	0.0	-0.72680235	6.5087585	392.2177	6.5076785	94.53981	0.078947365	-0.95363593	2.1146462	138.84651	2.11438	32.49992	0.065789476	1.1398478	9.948582	749.5541	1.3054918	27.735207	0.0	-1.0183935	2.0012326	123.21362	1.1732603	24.206411	0.0	2.7264767	0.31486538	16.822292	0.31368837	7.9345217	0.14473684	0.016979456	0.30021915	18.067238	0.29988548	9.420909	0.14473684	-0.7576268	1.9533715	117.95279	1.953335	26.880793	0.065789476
